#,Artist,Monthly Listeners,Followers
237,The Jasmine Minks,"1,004","1,679"
238,Enrique Spacca,714,166
239,Adam Franklin,673,25
240,thegabe,630,57
241,Saswat Kumar,601,58
242,Cal Lynn,585,104
243,Kelemity,430,40
244,CLUB 29,356,42
245,bucky,335,214
246,The Broken Claims,280,33
247,Pedro Vega,245,76
248,Yogi Luke,215,93
249,344,215,41
250,Lalo's Rave,212,54
251,ALZO,176,50
252,monkaydee,168,10
253,Dylan Baron,162,94
254,Senja Djingga,155,63
255,breaklist,144,10
256,Dani Smith,119,153
257,The Bonzai Pipeline,117,44
258,BEV,116,"1,632"
259,St. Christopher,98,15
260,也朋,97,863
261,STRANDNER,96,21
262,Johnny Ferguson,96,68
263,Jejak Aksara,92,176
264,Stefanos Barbalias,91,21
265,Charlie Anderson,88,45
266,Kobe Maulana,85,31
267,A/V Cult,84,216
268,Semi Finalists,73,36
269,olympia paloma,73,45
270,Diego Lomeli,68,38
271,Twig,63,43
272,Kailan McGee,62,56
273,Jentai,61,33
274,Dolores Capital,59,198
275,Alec Ledbetter,58,13
276,ryan moreno,58,46
277,cleimo,54,12
278,Jasmin Dahl,53,66
279,Rosemary's Children,53,6
280,Joey Ghiglieri,52,15
281,Avital Chiara,52,68
282,Sol Feo,51,84
283,The Wise Acres,50,10
284,Los Veletas,50,108
285,Irfan Maulana Rusmana,49,"2,056"
286,Andrew Whistler,47,10
287,Brizi,46,61
288,Laur-L,45,113
289,Close Quarters,44,38
290,Nidhi Wagle,42,20
291,LUNARi,42,12
292,Deaup,41,59
293,Jesiah Thompson,40,7
294,PxisonRuth,37,63
295,Las Cruces,36,67
296,Stylianos Ou & The Cortisol Cows,36,19
297,Metropol.,35,38
298,Gecarc,34,122
299,Stix & Stringz,33,131
300,Kacey White,33,54
301,Brett Carlisle,33,90
302,The Kefman,33,44
303,The Foxwoods,33,33
304,lina marie,32,117
305,The Keep Left Signs,31,178
306,Bright Young Things,31,40
307,Hated,31,22
308,Luna Skyz,31,3
309,Jim Ruiz Set,30,175
310,MEC Music Club,30,108
311,Det-Plag Lust,30,29
312,Jsbrion,30,17
313,Froitt,30,80
314,Danger Wolf,29,63
315,Tommy All Along,28,65
316,Wishbone Moon,28,43
317,CONY,27,80
318,Last Days of Rome,27,28
319,new glow,26,26
320,yami.,26,33
321,Eliyakim,25,60
322,Woozlemania,25,57
323,Sweaters,25,17
324,W!TH,24,19
325,Las Constelaciones,24,32
326,Shelley's Children,23,35
327,_woundead_,23,18
328,Carolina Drama,22,53
329,Yunge,21,32
330,Nate Wey and the Soft Colors,21,54
331,Domapé,21,51
332,Alinka Putri,21,15
333,Stelium,20,90
334,Rose Rainbow,20,7
335,Mila,20,92
336,Jet Lag Fuel,19,33
337,Herbe,19,31
338,Arts & Leisure,18,135
339,Big Pleasure,18,114
340,Ovi Caloni,18,49
341,South East Out There,18,2
342,Masterguise,17,51
343,Maddie Rose,17,66
344,Ranii.,17,32
345,Infected By Light,16,28
346,The Demeraras,16,7
347,TONE,16,16
348,Benlo,15,103
349,MERITUM,15,73
350,Mirabel Johns,15,31
351,Harriet J Woodcock,15,43
352,Pink Opaque,15,16
353,Asola Allure,14,16
354,Jack Bailey,14,53
355,accountings,14,19
356,Patience Dear Juggernaut,13,258
357,meifoon,13,27
358,The Neverlandings,13,48
359,elea,13,70
360,No Data,12,63
361,Farlanda,12,35
362,RAFFY,12,104
363,Pr!sm,12,11
364,Johana,11,33
365,Luca Minelli,11,6
366,Peppermint Parlour,10,31
367,Town in the City,10,121
368,Temple of Kahn,10,67
369,Azan Jacobs,10,47
370,Rachel Hall,10,41
371,Chris Hickey,10,19
372,Andy Desai,9,119
373,Stutter Steps,9,66
374,Scotch Howard,9,4
375,Carina Ram,9,26
376,Vida La Rei,9,10
377,Vada March,9,39
378,Emerald Lightning,9,4
379,ØAKS,9,14
380,Ezra Holbrook,8,106
381,Doñita González,8,54
382,August Summerland,8,29
383,The Fallen Choir,8,2
384,Misticos De Cafeteria,7,63
385,SAAR,7,22
386,Fiona Devine,7,7
387,Sunshine Sound Asylum,7,7
388,Meg in the Middle,6,25
389,Teletype,6,39
390,Esteban R Esteban,6,41
391,Fanelli Demolizioni,6,220
392,Alex Feller,6,35
393,Akshyathu,6,968
394,Nerv.ous,6,6
395,Matt's Keys,5,14
396,Labb,5,34
397,noel.toms,5,23
398,Vinny Tupac,5,10
399,Nate Arnstein,5,89
400,The Downtown Glitter,5,8
401,Cristóbal Cadierno,5,0
402,Epoxy Shades,5,23
403,Groveville Road,5,10
404,Kate Martin,5,6
405,LILS,5,16
406,Aspect Radio,5,13
407,La Hora Exacta,5,9
408,Scarlet Drops,5,31
409,Yafet Kiki,4,28
410,Matthews,4,10
411,Beacon,4,28
412,David Goveia,4,18
413,Stone Trees,4,0
414,Lowlight,3,12
415,Mihir Joshi Band,3,20
416,Elation Therapy,3,1
417,Lucky Rahrah,3,362
418,The Apse Affinity,3,7
419,Fionn Griffin,3,40
420,Pepto Dismal,3,11
421,Jad Fair & The Shapir-O'Rama,3,7
422,Dennis Wayland,3,9
423,D3HAVEN,3,3
424,The Amaretto Sours,2,17
425,Jenn Friedman,2,32
426,Yellow Castle,2,18
427,Keller,2,0
428,Megan Callahan,2,4
429,Ravens,2,28
430,Turtle Island,2,13
431,Lake Monsters United,2,11
432,Cloudburxt,2,17
433,the BOAR,2,1
434,Stressed Chip,2,26
435,Cochise Parliament,2,21
436,Alana Grier,1,7
437,Momo Child,1,9
438,Jesus Maria Lopez,1,92
439,Peter Lubulwa,1,25
440,Weird Mob,1,13
441,Alana Cahoon,1,3
442,Phoebe Quest,1,6
443,Shebly,1,6
444,Vindhya Adapa,1,24
445,Jerryhenry,1,7
446,Şah,1,7
447,Napalm Bubblegum,1,22
